Name,Cite,z,ZCite,IDunWISE,RA,Dec,W1mag,W2mag,lumbol
KUV 18217+6419,1658,0.297,0993,2741p636o0043929,275.4883904,64.34338312,9.49855768311288,8.400736066457043,1.3004902588731679E47
PDS 456,1712,0.184,1712,2622m137o0004842,262.08245018,-14.2655013,8.4831869385604,7.333067407287437,1.1240619977233654E47
3C 273,0719,0.158,2039,1875p015o0018869,187.27794124,2.05240404,8.424642504135498,7.393069156255816,8.479086260802677E46
ABQ J1554-3209,ABQ,0.278,ABQ,2382m319o0012992,238.62952011,-32.16370867,9.850712886133945,8.705361452674929,8.079163216023117E46
PG 1700+518,1645,0.292,1638,2551p514o0028670,255.35347062,51.82232239,10.284619545073008,9.229389558148483,6.063598783350295E46
SDSS J114420.31+113500.8,DR16Q,0.272,DR16Q,1761p121o0003623,176.08464398,11.58357177,10.205606235556154,9.192953447481514,5.542975487976141E46
IRAS 04505-2958,1082,0.286,1137,0730m303o0022187,73.12541806,-29.89313024,10.513989034064783,9.466272015424163,4.680413802001574E46
IRAS 13218+0552,0478,0.203,DR16,2005p060o0005231,201.08289402,5.61797085,9.676581010692535,8.286071076786621,4.659935401002951E46
IRAS 07598+6508,0478,0.148,1638,1223p651o0013067,121.12691747,64.9980323,8.994948703165136,7.908889038260325,4.3460789102444655E46
S2 0109+22,1390,0.265,1628,0179p227o0013118,18.02425276,22.74414438,10.407750402852749,9.536427946948333,4.3355602367639603E46
IRAS 13349+2438,1217,0.107,0838,2047p242o0015216,204.32801001,24.3842398,8.276261685199195,7.070976359458335,4.1795436032035097E46
CGRaBS J0211+1051,0804,0.2,1653,0323p106o0015901,32.80485727,10.85966757,9.762949049113,8.80459421823561,4.1629651733242544E46
PGC 61965,PGC,0.123,1807,2773p726o0033333,277.59651535,73.21964924,8.653659917508161,7.52616411382296,3.983112142108812E46
RXS J03370+4738,1323,0.184,1323,0545p469o0042458,54.26216636,47.64731938,9.627799577179426,8.561308728495252,3.916924585952833E46
IRAS 17500+5046,0478,0.3,0479,2670p514o0001380,267.8192659,50.76078721,10.835156786944962,9.774884193856613,3.886091287403289E46
ABQ J1427-4251,ABQ,0.25,ABQ,2164m425o0010057,216.88602638,-42.85488447,10.419462435378808,9.495210543148255,3.7566751054449723E46
S5 0716+71,1026,0.127,4LAC,1125p711o0020158,110.47262102,71.34342944,8.795104210855069,7.806629235591089,3.7468204954796486E46
SNU J05547+6620,0889,0.186,0889,0890p666o0011281,88.69692358,66.3454849,9.70566205167376,8.648363097724703,3.734322550704747E46
GPQ J220314.98+314538.3,GPQ,0.296,GPQ,3300p318o0019229,330.81241732,31.76065363,10.862322070980428,9.863754633408307,3.67478625307026E46
GPQ J064614.48+160242.7,GPQ,0.249,GPQ,1021p166o0004826,101.56033163,16.04520176,10.469706162592782,9.43970372223405,3.5543228056259027E46
UVQSJ055507.98-211304.9,UVQS,0.286,UVQS,0887m213o0016727,88.78326693,-21.21802914,10.862730563177942,9.81396467539716,3.3945924402649506E46
UVQSJ014850.75-624257.7,UVQS,0.289,UVQS,0284m621o0003170,27.21143812,-62.71603336,10.897877523303585,9.739806984612224,3.3661036298309403E46
SNU J06416+4510,0889,0.297,0889,1001p454o0011165,100.41400649,45.16726797,11.032828768917772,9.896715711635348,3.1651818682404613E46
IRAS 23060+0505,0478,0.173,DR16Q,3478p060o0001391,347.14146915,5.35826563,9.732569000283316,8.595160591715548,3.10331554501248E46
SGRSC J0810-6800,1607,0.231,1607,1226m682o0026405,122.72964759,-68.0021215,10.44154268390188,9.461831641420694,3.07833815986791E46
IRAS 20460+1925,0630,0.181,1928,3120p196o0021094,312.07186286,19.61556536,9.851375468730096,8.600891658833188,3.0739658090847705E46
IRAS 11119+3257,PGC,0.188,DR16Q,1691p333o0002430,168.66205642,32.69266398,9.944444738730736,8.884006624478513,3.0690723353469327E46
IRAS 00275-2859,1914,0.279,2159,0068m288o0012205,7.51753021,-28.70716717,10.93191830037889,9.808216888274936,3.0092157754006767E46
UVQSJ195041.29-200021.6,UVQS,0.292,UVQS,2976m197o0011601,297.67205463,-20.00598111,11.049313106829144,10.102480040579264,2.9981477581881327E46
HS 1859+6909,0553,0.298,0553,2846p696o0009902,284.83662518,69.23653785,11.104519026900377,9.979671094398345,2.9859422928466583E46
PKS 0422+00,0204,0.268,1695,0665p000o0023528,66.1952104,0.6017468,10.848903600782986,9.924513036608122,2.963017863892563E46
6dF J053026.4-345205,6dF,0.298,6dF,0822m349o0014739,82.60983199,-34.8680179,11.141009328815516,9.99620655794124,2.887255979271091E46
2MASS J15168+1900,1737,0.19,1737,2288p196o0001843,229.22182926,19.01340213,10.08272239166086,8.958190756133163,2.7663258574443054E46
HE 1015-1618,1518,0.247,1518,1540m167o0014811,154.56548436,-16.55222052,10.752770439267849,9.733672865444047,2.688986262027423E46
FBQS J074352.0+271239,DR7Q,0.252,DR16Q,1166p272o0013212,115.96678118,27.21098897,10.838583083658389,9.886008070331052,2.600222308339237E46
PHL 1811,1076,0.192,1076,3293m091o0007281,328.75627855,-9.37345293,10.193004765581057,9.144535679265768,2.5579887454442766E46
RXS J00066+4342,0708,0.166,0708,0020p439o0012619,1.65234163,43.70785213,9.845709267100258,8.84011829570148,2.552946737849674E46
RXS J23218-7026,1677,0.3,1677,3510m712o0032071,350.46304412,-70.44559209,11.304558114280008,10.292053456381195,2.5220428867469247E46
PG 0953+415,0716,0.239,0220,1483p408o0018071,149.21832732,41.25618861,10.752661851530876,9.778154086815004,2.4960746982887804E46
PG 1116+215,0226,0.176,DR16Q,1695p212o0013110,169.78619105,21.32165442,10.026086261345952,9.026287398229634,2.459838161109249E46
RXS J22453-4652,0743,0.201,0743,3403m470o0012399,341.33457066,-46.86987919,10.42461942378764,9.39987556971838,2.288583200199544E46
UVQSJ212323.36-714004.4,UVQS,0.291,UVQS,3195m712o0006589,320.84736156,-71.66786932,11.363078346725375,10.323653739993862,2.228047968702777E46
IRAS 00207+1029,1061,0.23,1061,0061p106o0013593,5.839211,10.7725593,10.787684721561767,9.74812618577535,2.2162114517857544E46
PGC 764153,PGC,0.129,2094,3245m273o0020489,325.29266712,-26.76394985,9.408845795932963,8.36496798000675,2.2021351250151687E46
CSO 1022,1446,0.285,DR16Q,2089p363o0013962,208.35887272,36.34710023,11.324414919530998,10.267191398747206,2.2010270454989388E46
